MONTH,EVAP_CFS,PPT_INC_IN,RES_ELE_FT,STORAGE_AF,INFLOW_CFS,OUTFLOW_CFS,TOC_STO_AF,DEMAND_AF
2017-02,824,0.416296296,861.2642857,2971062.714,1354636,1422325,2788000,68
2017-03,1288,0.113548387,851.4925806,2830211.065,619001,630257,2792505,14
2017-04,1609,0.171,852.735,2846987.267,739644,767931,2981045,11
2017-05,3268,0.012580645,834.8780645,2611956.323,437886,513406,3463239.355,134068
2017-06,3724,0.021666667,814.503,2359855.7,156524,220330,3538000,139042
2017-07,4678,0,805.5770968,2256046.355,94023,200380,3538000,189303
2017-08,3661,0,771.8941935,1893305.065,77974,279730,3538000,158814
2017-09,2755,0,730.6056667,1506012.5,48426,233382,3488000,57283
2017-10,1872,0.022258065,701.2774194,1264605.806,65668,121107,3205338.71,96225
2017-11,410,0.232,695.048,1217552.8,134725,108936,3073982.933,109645
2017-12,454,0.004516129,700.5351613,1258767.258,78900,97405,3116712.935,76140
2018-01,338,0.192580645,706.7025806,1307417.71,154948,65098,3085499.935,35499
2018-02,806,0.032142857,724.3671429,1450203.286,73090,46188,3146441,187
2018-03,1079,0.303225806,749.3948387,1682409.452,364471,44166,3038860.226,361
2018-04,1876,0.175666667,806.921,2272437.333,323053,149928,3160240.2,2010
2018-05,2759,0.010967742,821.8583871,2448226.645,105558,114567,3494485.484,148390
2018-06,3891,0,813.554,2348807.033,64506,139568,3538000,146559
2018-07,4271,0,791.5956667,2103648.258,50561,202065,3538000,181038
2018-08,3171,0,758.4229032,1759537.484,66211,238059,3538000,140299
2018-09,2558,0,726.955,1473078.033,67317,181770,3488000,50979
2018-10,1718,0.0125,701.673871,1268094.097,23969,115924,3205338.71,91610
2018-11,902,0.173214286,675.8793333,1080567.867,30846,105115,3155043.483,117656
2018-12,327,0.14516129,666.2459259,1014667.258,75285,73995,3085467.033,70353
2019-01,337,0.26516129,690.2667742,1187636.839,244308,56322,2958752.581,31133
2019-02,355,0.573214286,755.3153571,1737796.679,422456,26517,2826757.036,100
2019-03,951,0.220645161,834.1223333,2611300.194,566944,232808,2788341.419,127
2019-04,2090,0.064,866.044,3031746.367,631603,409811,3066888.533,3707
2019-05,2782,0.142903226,890.0012903,3382266.419,411927,320275,3506901.71,132492
2019-06,4854,0,894.845,3456784.933,221079,218184,3538000,151826
2019-07,5368,0.000322581,884.5051613,3299784.839,91739,263137,3538000,190793
2019-08,4768,0,853.62,2859480.323,80206,312168,3538000,167413
2019-09,3478,0.018965517,819.16,2417461.233,69126,271881,3488000,60812
2019-10,2717,0.001612903,793.1774194,2116032.774,67399,157041,3205338.71,84340
2019-11,1101,0.046,779.2576667,1966701.1,58276,119254,3163000,113059
2019-12,600,0.23516129,783.4122581,2010648.806,170300,90367,3054801.467,58045
2020-01,381,0.092258065,794.3151613,2128471.161,133284,69909,3112444.29,38813
2020-02,1081,0,804.48,2242723.241,74259,49126,3154902.069,386
2020-03,1119,0.086129032,806.356129,2264308.226,71067,49066,3151438.387,1448
2020-04,1988,0.04,818.0123333,2402175.333,157382,56339,3245395.211,48321
2020-05,2904,0.09483871,822.086129,2450975.839,115478,143468,3535885.357,169981
2020-06,3667,0.007666667,810.1183333,2308821.3,61146,183084,3538000,177590
2020-07,4152,0,783.5222581,2012760.419,52809,201425,3538000,203950
2020-08,3413,0.000967742,759.3409677,1766824.161,57139,139958,3538000,150846
2020-09,2679,0,749.194,1670099.9,55785,90442,3481750,47905
2020-10,2456,0,738.0793548,1569265.871,48293,110815,3205338.71,100004
2020-11,914,0.074,717.5023333,1393894.7,31213,127615,3163000,119006
2020-12,449,0.093548387,700.8348387,1261122.645,36130,72410,3163000,79813
